event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
480,32,Brentford,home, 40 ,Yellow card, Christian Nørgaard ,
481,32,Leicester City,away, 52 ,Goal, Harvey Barnes , James Maddison 
482,32,Brentford,home, 61 ,Substitution, Josh Dasilva , Mikkel Damsgaard 
483,32,Brentford,home, 61 ,Substitution, Kevin Schade , Yoane Wissa 
484,32,Leicester City,away, 66 ,Substitution, Dennis Praet , Tetê 
485,32,Leicester City,away, 66 ,Substitution, Jamie Vardy , Patson Daka 
486,32,Leicester City,away, 74 ,Substitution, Boubakary Soumaré , Wilfred Ndidi 
487,32,Brentford,home, 75 ,Substitution, Shandon Baptiste , Mathias Jensen 
488,32,Leicester City,away, 84 ,Yellow card, Boubakary Soumaré ,
489,32,Brentford,home, 89 ,Yellow card, Shandon Baptiste ,
490,32,Leicester City,away, 90 ,Substitution, Kelechi Iheanacho , James Maddison 
491,32,Brentford,home, 92 ,Second yellow card, Shandon Baptiste ,
492,32,Brentford,home, 94 ,Substitution, Pontus Jansson , Bryan Mbeumo 
493,33,Aston Villa,home, 7 ,Goal, Douglas Luiz , Leon Bailey 
494,33,AFC Bournemouth,away, 14 ,Yellow card, Philip Billing ,
495,33,Aston Villa,home, 36 ,Yellow card, John McGinn ,
496,33,AFC Bournemouth,away, 58 ,Yellow card, Jefferson Lerma ,
497,33,AFC Bournemouth,away, 59 ,Substitution, Hamed Traorè , Joe Rothwell 
498,33,AFC Bournemouth,away, 59 ,Substitution, Antoine Semenyo , Jaidon Anthony 
499,33,Aston Villa,home, 65 ,Substitution, Bertrand Traore , Leon Bailey 
500,33,AFC Bournemouth,away, 66 ,Yellow card, Marcos Senesi ,
501,33,AFC Bournemouth,away, 79 ,Substitution, David Brooks , Adam Smith 
502,33,AFC Bournemouth,away, 79 ,Yellow card, Jack Stephens ,
503,33,Aston Villa,home, 80 ,Goal, Jacob Ramsey , Ollie Watkins 
504,33,Aston Villa,home, 89 ,Goal, Emiliano Buendía , Tyrone Mings 
505,33,Aston Villa,home, 91 ,Substitution, Calum Chambers , John McGinn 
506,33,Aston Villa,home, 91 ,Substitution, Jhon Durán , Emiliano Buendía 
507,33,AFC Bournemouth,away, 91 ,Substitution, Matías Viña , Dango Ouattara 
508,33,AFC Bournemouth,away, 92 ,Substitution, Kieffer Moore , Philip Billing 
509,34,Nottingham Forest,home, 22 ,Yellow card, Emmanuel Dennis ,
510,34,Nottingham Forest,home, 26 ,Goal, Emmanuel Dennis ,
511,34,Newcastle United,away, 33 ,Yellow card, Daniel Burn ,
512,34,Newcastle United,away, 47 ,Goal, Alexander Isak , Joe Willock 
513,34,Newcastle United,away, 45 ,Substitution, Elliot Anderson , Allan Saint-Maximin 
