event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
648,43,Viktoria Plzeň,away, 46 ,Yellow card, Jhon Mosquera ,
649,43,Viktoria Plzeň,away, 45 ,Substitution, Tomás Chorý , Fortune Bassey 
650,43,Viktoria Plzeň,away, 45 ,Substitution, Libor Holík , Erik Jirka 
651,43,Viktoria Plzeň,away, 49 ,Yellow card, Ludek Pernica ,
652,43,Viktoria Plzeň,away, 51 ,Substitution, Václav Jemelka , Mohamed Tijani 
653,43,Inter,home, 66 ,Goal, Edin Dzeko , Lautaro Martínez 
654,43,Viktoria Plzeň,away, 70 ,Substitution, Modou N'Diaye , Lukás Kalvach 
655,43,Inter,home, 71 ,Substitution, Joaquín Correa , Edin Dzeko 
656,43,Inter,home, 71 ,Substitution, Kristjan Asllani , Hakan Calhanoglu 
657,43,Inter,home, 77 ,Substitution, Robin Gosens , Federico Dimarco 
658,43,Inter,home, 83 ,Substitution, Romelu Lukaku , Lautaro Martínez 
659,43,Inter,home, 83 ,Substitution, Roberto Gagliardini , Henrikh Mkhitaryan 
660,43,Viktoria Plzeň,away, 84 ,Substitution, Václav Pilař , Adam Vlkanova 
661,43,Inter,home, 87 ,Goal, Romelu Lukaku , Joaquín Correa 
662,44,Club Brugge,home, 28 ,Yellow card, Denis Odoi ,
663,44,FC Porto,away, 29 ,Yellow card, Stephen Eustáquio ,
664,44,FC Porto,away, 33 ,Goal, Mehdi Taremi , Otávio 
665,44,FC Porto,away, 42 ,Yellow card, Otávio ,
666,44,FC Porto,away, 49 ,Yellow card, David Carmo ,
667,44,Club Brugge,home, 51 ,Missed penalty, Noa Lang , Missed penalty 
668,44,Club Brugge,home, 54 ,Yellow card, Abakar Sylla ,
669,44,Club Brugge,home, 56 ,Yellow card, Raphael Onyedika ,
670,44,FC Porto,away, 57 ,Goal, Evanilson ,
671,44,FC Porto,away, 60 ,Goal, Stephen Eustáquio ,
672,44,FC Porto,away, 65 ,Yellow card, Mateus Uribe ,
673,44,FC Porto,away, 70 ,Goal, Mehdi Taremi , Otávio 
674,44,Club Brugge,home, 71 ,Substitution, Dedryck Boyata , Abakar Sylla 
675,44,Club Brugge,home, 71 ,Substitution, Bjorn Meijer , Denis Odoi 
676,44,Club Brugge,home, 71 ,Substitution, Antonio Nusa , Andreas Skov Olsen 
677,44,FC Porto,away, 77 ,Substitution, Wendell , Zaidu Sanusi 
678,44,FC Porto,away, 77 ,Substitution, Bruno Costa , Stephen Eustáquio 
679,44,FC Porto,away, 77 ,Substitution, Gabriel Veron , Wenderson Galeno 
680,44,Club Brugge,home, 80 ,Substitution, Lynnt Audoor , Casper Nielsen 
681,44,Club Brugge,home, 81 ,Substitution, Éder Balanta , Raphael Onyedika 
682,44,FC Porto,away, 88 ,Substitution, Toni Martínez , Pepê 
683,44,FC Porto,away, 88 ,Substitution, Rodrigo Conceição , Evanilson 
684,45,RB Leipzig,home, 13 ,Goal, Joško Gvardiol ,
685,45,RB Leipzig,home, 18 ,Goal, Christopher Nkunku ,
686,45,Real Madrid,away, 44 ,Goal, Vinícius Júnior , Marco Asensio 
687,45,Real Madrid,away, 49 ,Yellow card, Lucas Vazquez ,
688,45,Real Madrid,away, 68 ,Substitution, Dani Carvajal , Lucas Vazquez 
689,45,Real Madrid,away, 68 ,Substitution, David Alaba , Nacho 
690,45,RB Leipzig,home, 69 ,Substitution, Dani Olmo , Emil Forsberg 
691,45,RB Leipzig,home, 69 ,Substitution, Timo Werner , André Silva 
692,45,RB Leipzig,home, 69 ,Substitution, Abdou Diallo , David Raum 
693,45,Real Madrid,away, 76 ,Substitution, Eden Hazard , Toni Kroos 
694,45,RB Leipzig,home, 81 ,Goal, Timo Werner , Mohamed Simakan 
695,45,RB Leipzig,home, 84 ,Substitution, Kevin Kampl , Amadou Haidara 
696,45,RB Leipzig,home, 89 ,Substitution, Benjamin Henrichs , Mohamed Simakan 
697,45,Real Madrid,away, 94 ,Penalty, Rodrygo , Penalty 
698,46,PSG,home, 19 ,Goal, Lionel Messi , Kylian Mbappé 
699,46,Maccabi Haifa,away, 26 ,Yellow card, Abdoulaye Seck ,
700,46,PSG,home, 27 ,Yellow card, Neymar ,
701,46,PSG,home, 32 ,Goal, Kylian Mbappé ,
702,46,PSG,home, 35 ,Goal, Neymar , Lionel Messi 
703,46,Maccabi Haifa,away, 38 ,Goal, Abdoulaye Seck , Omer Atzili 
704,46,PSG,home, 40 ,Yellow card, Sergio Ramos ,
705,46,PSG,home, 44 ,Goal, Lionel Messi , Kylian Mbappé 
706,46,Maccabi Haifa,away, 47 ,Yellow card, Tjaronn Chery ,
707,46,Maccabi Haifa,away, 50 ,Goal, Abdoulaye Seck , Frantzdy Pierrot 
708,46,Maccabi Haifa,away, 54 ,Yellow card, Omer Atzili ,
709,46,PSG,home, 64 ,Goal, Kylian Mbappé , Achraf Hakimi 
710,46,Maccabi Haifa,away, 65 ,Substitution, Dean David , Omer Atzili 
711,46,PSG,home, 67 ,Own goal, Sean Goldberg , Own goal 
712,46,PSG,home, 68 ,Substitution, Carlos Soler , Renato Sanches 
713,46,Maccabi Haifa,away, 70 ,Substitution, Sun Menachem , Pierre Cornud 
714,46,Maccabi Haifa,away, 71 ,Substitution, Raz Meir , Mohammad Abu Fani 
715,46,Maccabi Haifa,away, 74 ,Yellow card, Neta Lavi ,
716,46,PSG,home, 79 ,Substitution, Warren Zaïre-Emery , Vitinha 
717,46,PSG,home, 79 ,Substitution, Hugo Ekitike , Kylian Mbappé 
718,46,PSG,home, 79 ,Substitution, Presnel Kimpembe , Marquinhos 
719,46,Maccabi Haifa,away, 83 ,Substitution, Nikita Rukavytsya , Frantzdy Pierrot 
720,46,PSG,home, 83 ,Substitution, Pablo Sarabia , Fabian Ruiz 
721,46,Maccabi Haifa,away, 83 ,Substitution, Ofri Arad , Ali Muhammad 
722,46,PSG,home, 84 ,Goal, Carlos Soler , Lionel Messi 
723,47,Milan,away, 39 ,Goal, Matteo Gabbia , Sandro Tonali 
724,47,Dinamo Zagreb,home, 43 ,Yellow card, Arijan Ademi ,
725,47,Milan,away, 46 ,Yellow card, Charles De Ketelaere ,
726,47,Milan,away, 49 ,Goal, Rafael Leão , Theo Hernandez 
727,47,Milan,away, 52 ,Substitution, Rade Krunic , Charles De Ketelaere 
728,47,Dinamo Zagreb,home, 57 ,Substitution, Martin Baturina , Arijan Ademi 
729,47,Dinamo Zagreb,home, 58 ,Substitution, Josip Drmic , Bruno Petković 
730,47,Dinamo Zagreb,home, 58 ,Yellow card, Robert Ljubičić ,
731,47,Dinamo Zagreb,home, 58 ,Substitution, Dario Špikić , Stefan Ristovski 
732,47,Milan,away, 59 ,Penalty, Olivier Giroud , Penalty 
733,47,Milan,away, 69 ,Own goal, Robert Ljubičić , Own goal 
734,47,Milan,away, 70 ,Substitution, Tommaso Pobega , Ismaël Bennacer 
735,47,Milan,away, 70 ,Substitution, Junior Messias , Rafael Leão 
736,47,Milan,away, 70 ,Substitution, Fodé Ballo-Touré , Theo Hernandez 
737,47,Dinamo Zagreb,home, 75 ,Substitution, Petar Bočkaj , Mislav Oršić 
738,47,Dinamo Zagreb,home, 75 ,Substitution, Marko Bulat , Josip Mišić 
739,47,Milan,away, 81 ,Substitution, Divock Origi , Olivier Giroud 
740,48,Shakhtar Donetsk,away, 31 ,Yellow card, Mykola Matvienko ,
741,48,Celtic,home, 34 ,Goal, Giorgos Giakoumakis ,
742,48,Shakhtar Donetsk,away, 50 ,Yellow card, Valeriy Bondar ,
743,48,Shakhtar Donetsk,away, 56 ,Yellow card, Taras Stepanenko ,
744,48,Shakhtar Donetsk,away, 57 ,Substitution, Danylo Sikan , Lassina Traoré 
745,48,Shakhtar Donetsk,away, 58 ,Goal, Mykhailo Mudryk , Danylo Sikan 
746,48,Celtic,home, 65 ,Substitution, Daizen Maeda , Sead Hakšabanović 
747,48,Celtic,home, 65 ,Substitution, Aaron Mooy , Kyogo Furuhashi 
748,48,Celtic,home, 65 ,Substitution, James Forrest , Liel Abada 
749,48,Celtic,home, 84 ,Substitution, David Turnbull , Reo Hatate 
750,48,Shakhtar Donetsk,away, 90 ,Substitution, Ivan Petryak , Mykhailo Mudryk 
751,48,Shakhtar Donetsk,away, 90 ,Substitution, Sergii Kryvtsov , Heorhii Sudakov 
752,48,Shakhtar Donetsk,away, 90 ,Yellow card, Oleksandr Zubkov ,
753,49,Manchester City,away, 7 ,Yellow card, João Cancelo ,
754,49,Manchester City,away, 31 ,Yellow card, Julián Álvarez ,
755,49,Manchester City,away, 45 ,Substitution, Bernardo Silva , Erling Haaland 
756,49,Manchester City,away, 45 ,Substitution, Manuel Akanji , João Cancelo 
757,49,Manchester City,away, 58 ,Missed penalty, Riyad Mahrez , Missed penalty 
758,49,Manchester City,away, 58 ,Yellow card, Ilkay Gündoğan ,
759,49,Manchester City,away, 72 ,Yellow card, Manuel Akanji ,
760,49,Borussia Dortmund,home, 73 ,Substitution, Donyell Malen , Karim Adeyemi 
761,49,Manchester City,away, 81 ,Substitution, Jack Grealish , Phil Foden 
762,49,Borussia Dortmund,home, 82 ,Substitution, Marius Wolf , Thorgan Hazard 
763,49,Borussia Dortmund,home, 82 ,Substitution, Anthony Modeste , Youssoufa Moukoko 
764,49,Borussia Dortmund,home, 87 ,Yellow card, Mats Hummels ,
765,49,Borussia Dortmund,home, 87 ,Substitution, Antonios Papadopoulos , Gio Reyna 
766,49,Manchester City,away, 88 ,Substitution, Cole Palmer , Riyad Mahrez 
767,50,Benfica,home, 17 ,Goal, António Silva , Enzo Fernández 
768,50,Juventus,away, 21 ,Goal, Moise Kean , Dušan Vlahović 
769,50,Benfica,home, 28 ,Penalty, João Mário , Penalty 
770,50,Benfica,home, 35 ,Goal, Rafa Silva , João Mário 
771,50,Juventus,away, 45 ,Substitution, Arek Milik , Moise Kean 
772,50,Benfica,home, 50 ,Goal, Rafa Silva , Álex Grimaldo 
773,50,Juventus,away, 60 ,Substitution, Alex Sandro , Leonardo Bonucci 
774,50,Juventus,away, 60 ,Substitution, Fabio Miretti , Juan Cuadrado 
