Team,Position,PL,W,D,L,GD,PTS
 Napoli , 1 , 6 , 5 , 0 , 1 , 14 ,15
 Liverpool , 2 , 6 , 5 , 0 , 1 , 11 ,15
 Ajax , 3 , 6 , 2 , 0 , 4 , -5 ,6
 Rangers , 4 , 6 , 0 , 0 , 6 , -20 ,0
