event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1089,75,Twente,away, 88 ,Substitution, Michel Vlap , Sem Steijn 
1090,75,Twente,away, 88 ,Substitution, Denilho Cleonise , Virgil Misidjan 
1091,75,Groningen,home, 94 ,Substitution, Damil Dankerlui , Mads Sørensen 
1092,76,Go Ahead Eagles,home, 35 ,Goal, Finn Stokkers , Isac Lidberg 
1093,76,NEC,away, 45 ,Substitution, Calvin Verdonk , Ibrahim Cissoko 
1094,76,Go Ahead Eagles,home, 45 ,Substitution, Fredrik Oppegård , Enric Llansana 
1095,76,NEC,away, 49 ,Yellow card, Dirk Proper ,
1096,76,Go Ahead Eagles,home, 62 ,Substitution, Xander Blomme , Bobby Adekanye 
1097,76,Go Ahead Eagles,home, 62 ,Substitution, Federico Mattiello , Philippe Rommens 
1098,76,NEC,away, 64 ,Yellow card, Calvin Verdonk ,
1099,76,NEC,away, 69 ,Substitution, Ilias Bronkhorst , Pedro Marques 
1100,76,NEC,away, 73 ,Substitution, Anthony Musaba , Lasse Schone 
1101,76,NEC,away, 77 ,Yellow card, Ilias Bronkhorst ,
1102,76,Go Ahead Eagles,home, 82 ,Substitution, Sylla Sow , Finn Stokkers 
1103,76,NEC,away, 89 ,Yellow card, Souffian El Karouani ,
1104,77,PSV,away, 8 ,Goal, Anwar El Ghazi , Xavi Simons 
1105,77,PSV,away, 17 ,Substitution, Johan Bakayoko , Anwar El Ghazi 
1106,77,PSV,away, 32 ,Substitution, Patrick van Aanholt , Phillipp Mwene 
1107,77,PSV,away, 43 ,Yellow card, Guus Til ,
1108,77,PSV,away, 46 ,Yellow card, Johan Bakayoko ,
1109,77,Feyenoord,home, 53 ,Yellow card, Lutsharel Geertruida ,
1110,77,PSV,away, 53 ,Yellow card, Luuk de Jong ,
1111,77,Feyenoord,home, 62 ,Substitution, Alireza Jahanbakhsh , Igor Paixão 
1112,77,Feyenoord,home, 62 ,Substitution, Ezequiel Bullaude , Quinten Timber 
1113,77,PSV,away, 62 ,Substitution, Érick Gutiérrez , Joey Veerman 
1114,77,PSV,away, 62 ,Substitution, Thorgan Hazard , Guus Til 
1115,77,PSV,away, 65 ,Red card, Armando Obispo ,
1116,77,PSV,away, 68 ,Goal, Thorgan Hazard , Luuk de Jong 
1117,77,PSV,away, 69 ,Substitution, André Ramalho , Johan Bakayoko 
1118,77,Feyenoord,home, 70 ,Substitution, Oussama Idrissi , Javairô Dilrosun 
1119,77,Feyenoord,home, 70 ,Substitution, Danilo , Marcos López 
1120,77,PSV,away, 70 ,Substitution, Fábio Silva , Luuk de Jong 
1121,77,Feyenoord,home, 81 ,Goal, Alireza Jahanbakhsh , Oussama Idrissi 
