Team,Position,PL,W,D,L,GD,PTS
 Arsenal , 1 , 6 , 5 , 0 , 1 , 5 ,15
 PSV , 2 , 6 , 4 , 1 , 1 , 11 ,13
 Bodø/Glimt , 3 , 6 , 1 , 1 , 4 , -5 ,4
 FC Zürich , 4 , 6 , 1 , 0 , 5 , -11 ,3
