event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
191,13,Real Betis,away, 59 ,Substitution, Aitor Ruibal , Luiz Henrique 
192,13,Manchester United,home, 65 ,Substitution, Jadon Sancho , Marcus Rashford 
193,13,Manchester United,home, 65 ,Substitution, Tyrell Malacia , Luke Shaw 
194,13,Real Betis,away, 65 ,Substitution, Andrés Guardado , Guido Rodríguez 
195,13,Real Betis,away, 65 ,Substitution, Borja Iglesias , Ayoze Pérez 
196,13,Manchester United,home, 68 ,Yellow card, Bruno Fernandes ,
197,13,Real Betis,away, 80 ,Substitution, Willian Jose , Juanmi 
198,13,Manchester United,home, 81 ,Substitution, Scott McTominay , Fred 
199,13,Manchester United,home, 82 ,Goal, Wout Weghorst ,
200,13,Manchester United,home, 82 ,Substitution, Facundo Pellistri , Antony 
201,14,Feyenoord,away, 57 ,Substitution, Gernot Trauner , Marcus Pedersen 
202,14,Shakhtar Donetsk,home, 62 ,Substitution, Kevin Kelsy , Lassina Traoré 
203,14,Shakhtar Donetsk,home, 62 ,Substitution, Neven Đurasek , Dmytro Kryskiv 
204,14,Feyenoord,away, 70 ,Yellow card, Mats Wieffer ,
205,14,Feyenoord,away, 72 ,Substitution, Igor Paixão , Oussama Idrissi 
206,14,Feyenoord,away, 72 ,Substitution, Javairô Dilrosun , Sebastian Szymański 
207,14,Shakhtar Donetsk,home, 77 ,Substitution, Marian Shved , Oleksandr Zubkov 
208,14,Shakhtar Donetsk,home, 79 ,Goal, Yaroslav Rakitskiy , Heorhii Sudakov 
209,14,Feyenoord,away, 86 ,Substitution, Ezequiel Bullaude , Alireza Jahanbakhsh 
210,14,Feyenoord,away, 88 ,Goal, Ezequiel Bullaude , Igor Paixão 
211,14,Shakhtar Donetsk,home, 90 ,Substitution, Ivan Petryak , Heorhii Sudakov 
212,14,Shakhtar Donetsk,home, 90 ,Substitution, Ehor Nazaryna , Artem Bondarenko 
213,15,Sevilla,home, 3 ,Yellow card, Alex Telles ,
214,15,Fenerbahçe,away, 48 ,Yellow card, Ferdi Kadıoğlu ,
215,15,Sevilla,home, 48 ,Yellow card, Bryan Gil ,
216,15,Sevilla,home, 45 ,Substitution, Joan Jordan , Alex Telles 
217,15,Sevilla,home, 56 ,Goal, Joan Jordan ,
218,15,Fenerbahçe,away, 67 ,Substitution, Diego Rossi , Miguel Crespo 
219,15,Fenerbahçe,away, 67 ,Substitution, Michy Batshuayi , Joshua King 
220,15,Sevilla,home, 70 ,Substitution, Lucas Ocampos , Oliver Torres 
221,15,Sevilla,home, 70 ,Substitution, Erik Lamela , Bryan Gil 
222,15,Fenerbahçe,away, 82 ,Substitution, Bright Osayi-Samuel , Lincoln 
223,15,Fenerbahçe,away, 82 ,Substitution, Joao Pedro Galvao , Enner Valencia 
224,15,Sevilla,home, 85 ,Goal, Erik Lamela , Ivan Rakitic 
225,15,Sevilla,home, 87 ,Substitution, Suso , Marcos Acuña 
226,15,Sevilla,home, 87 ,Substitution, Rafa Mir , Youssef En-Nesyri 
227,15,Fenerbahçe,away, 87 ,Substitution, Arda Güler , Irfan Kahveci 
228,16,Arsenal,away, 22 ,Goal, William Saliba , Fábio Vieira 
229,16,Sporting CP,home, 22 ,Yellow card, Sebastián Coates ,
230,16,Arsenal,away, 23 ,Yellow card, Olexandr Zinchenko ,
231,16,Sporting CP,home, 34 ,Goal, Gonçalo Inácio , Marcus Edwards 
232,16,Arsenal,away, 43 ,Yellow card, Gabriel Martinelli ,
233,16,Sporting CP,home, 55 ,Goal, Paulinho ,
234,16,Sporting CP,home, 58 ,Yellow card, Hidemasa Morita ,
235,16,Arsenal,away, 62 ,Own goal, Hidemasa Morita , Own goal 
236,16,Arsenal,away, 63 ,Substitution, Takehiro Tomiyasu , Olexandr Zinchenko 
237,16,Sporting CP,home, 71 ,Substitution, Nuno Santos , Trincão 
238,16,Arsenal,away, 71 ,Substitution, Thomas Partey , Jorginho 
239,16,Arsenal,away, 71 ,Substitution, Gabriel , Jakub Kiwior 
240,16,Arsenal,away, 71 ,Substitution, Emile Smith-Rowe , Reiss Nelson 
241,16,Sporting CP,home, 76 ,Substitution, Ousmane Diomande , Ricardo Esgaio 
242,16,Sporting CP,home, 76 ,Substitution, Youssef Chermiti , Paulinho 
243,16,Sporting CP,home, 89 ,Substitution, Abdul Fatawu Issahaku , Marcus Edwards 
244,17,Roma,home, 13 ,Goal, Stephan El Shaarawy , Tammy Abraham 
245,17,Roma,home, 45 ,Substitution, Marash Kumbulla , Diego Llorente 
246,17,Roma,home, 60 ,Substitution, Georginio Wijnaldum , Lorenzo Pellegrini 
247,17,Roma,home, 60 ,Substitution, Leonardo Spinazzola , Stephan El Shaarawy 
248,17,Roma,home, 61 ,Substitution, Andrea Belotti , Tammy Abraham 
249,17,Real Sociedad,away, 67 ,Substitution, Mikel Oyarzabal , Alexander Sorloth 
250,17,Real Sociedad,away, 68 ,Yellow card, Asier Illarramendi ,
251,17,Real Sociedad,away, 71 ,Yellow card, Igor Zubeldia ,
252,17,Real Sociedad,away, 75 ,Substitution, Brais Mendez , Asier Illarramendi 
